OBJECTID,Latitude,Longitude,Depth,Magnitude,Strike1,Dip1,Rake1,Strike2,Dip2,Rake2,T1_x,T1_y,T1_z,T1_az,T1_pl,T1_theta,P1_x,P1_y,P1_z,P1_az,P1_pl,P1_theta,B1_x,B1_y,B1_z,B1_az,B1_pl,B1_theta,tipo_falla1,T2_x,T2_y,T2_z,T2_az,T2_pl,T2_theta,P2_x,P2_y,P2_z,P2_az,P2_pl,P2_theta,B2_x,B2_y,B2_z,B2_az,B2_pl,B2_theta,tipo_falla2,ZONA
11,5.61,-82.66,15,5.89,174.3,90,0,264.3,90,0,-0.77384021,-0.633380873,-4.32978E-17,230.7,0,90,0.633380873,-0.77384021,-4.32978E-17,140.7,0,90,6.08158E-18,6.09296E-17,-1,5.7,90,0,TRANSCURRENTE,-0.633380873,0.77384021,4.32978E-17,320.7,0,90,0.77384021,0.633380873,-4.32978E-17,50.7,0,90,6.09296E-17,-6.08158E-18,1,95.7,90,0,TRANSCURRENTE,1
12,5.8,-82.78,15,6.14,350.9,75,107.8,222,23.1,-138.8,-0.132973956,0.536544891,-0.833329171,346.0806295,56.4422588,33.5577412,-0.349021894,-0.812287453,-0.467303767,203.2521235,27.85942009,62.14057991,0.927632279,-0.228710895,-0.29527899,103.850234,17.17426758,72.82573242,INVERSA,-0.867682726,0.168541452,0.467675598,280.9924289,27.88352007,62.11647993,-0.496416632,-0.243791318,-0.833148438,243.844242,56.42353033,33.57646967,0.026404797,0.955070454,-0.295200296,1.583650849,17.16954837,72.83045163,NORMAL,1
13,7.05,-82.4,15,6.35,357.2,76.9,93.8,193.5,13.6,-105.9,-0.020975473,0.530448616,-0.847457548,357.7355388,57.93620572,32.06379428,-0.088261636,-0.845316968,-0.526924195,185.9607952,31.79786966,58.20213034,0.995876455,-0.063745505,-0.064549186,93.66247487,3.700969058,86.29903094,INVERSA,-0.381485127,0.75917653,0.527370927,333.3205369,31.82799043,58.17200957,-0.303854934,0.435823503,-0.847189503,325.1158987,57.90728739,32.09271261,0.873007032,0.483434453,-0.06441935,61.02416644,3.693514451,86.30648555,NORMAL,1
14,7.37,-82.48,15,5.47,356.3,63.4,99.2,196.2,28,-107.7,-0.092185036,0.326351022,-0.940742754,344.2264981,70.17666869,19.82333131,-0.173787756,-0.935538273,-0.307515779,190.5234445,17.90958343,72.09041657,0.980458941,-0.135141219,-0.142958441,97.84789416,8.219074869,81.78092513,INVERSA,-0.465002494,0.829973123,0.308086508,330.7397423,17.94395237,72.05604763,-0.279771077,0.192402406,-0.940589952,304.5168369,70.15086837,19.84913163,0.839940965,0.523570368,-0.142734876,58.06298529,8.206132808,81.79386719,NORMAL,1
15,5.75,-82.88,15,5.89,356.7,77.7,95.1,199.4,13.3,-112.2,-0.031620793,0.543558215,-0.838775651,356.6706447,57.01105631,32.98894369,-0.111159951,-0.835901691,-0.537505189,187.574869,32.51396723,57.48603277,0.993299346,-0.07624192,-0.086853779,94.38920223,4.982632914,85.01736709,INVERSA,-0.517666703,0.66564435,0.537530263,322.1280564,32.51567088,57.48432912,-0.40960158,0.358776802,-0.838752498,311.2156543,57.00861995,32.99138005,0.75116425,0.654367485,-0.086922174,48.93964988,4.986566498,85.0134335,NORMAL,1
16,5.89,-82.74,15,5.41,349.7,77.3,120.9,239.5,33.2,-156.3,-0.257788137,0.612378377,-0.747353999,337.170748,48.36169,41.63831,-0.504466209,-0.745003375,-0.436444515,214.1032168,25.87724627,64.12275373,0.824050435,-0.26450462,-0.500977231,107.7956488,30.06467418,59.93532582,OBLICUA,-0.867144036,-0.240663123,0.436053302,254.4887849,25.85233606,64.14766394,-0.199923111,-0.633686284,-0.747310139,197.5100816,48.35790796,41.64209204,-0.456170988,0.735202663,-0.501383161,328.1816512,30.09155148,59.90844852,OBLICUA,1
17,5.44,-82.62,15,6.28,5.8,71.8,-80.9,213,20.3,115.7,-0.021341618,-0.896552524,-0.442422996,181.3636164,26.2585803,63.7414197,-0.15710705,0.440033255,-0.884131274,340.3516826,62.14480441,27.85519559,-0.987350956,-0.05063898,0.150245744,267.0640026,8.641168024,81.35883198,NORMAL,-0.065316743,-0.462442157,0.884240338,188.0394511,62.1581815,27.8418185,0.201905555,-0.87392841,-0.442134914,166.9910818,26.24017655,63.75982345,-0.977224575,-0.149654224,-0.150451797,261.2932485,8.653109759,81.34689024,INVERSA,1
18,6.62,-82.15,25,6.78,82.4,52.7,-104.5,239.3,39.6,71.8,-0.992164541,-0.046231416,0.116069721,267.3321457,6.665328737,83.33467126,-0.122922596,0.195015806,-0.973066735,327.7758999,76.6720999,13.3279001,-0.022350823,0.979709902,0.199170653,358.6930971,11.4884653,78.5115347,NORMAL,-0.170237784,-0.15577146,-0.973013026,227.5407742,76.65875733,13.34124267,0.945354753,-0.304459317,-0.116657252,107.8515835,6.699222033,83.30077797,0.278071011,0.939701961,-0.19908977,16.48422562,11.48373631,78.51626369,INVERSA,1
19,7.49,-81.79,15,5.55,351.5,90,-180,261.5,90,-180,-0.594822787,0.803856861,4.32978E-17,323.5,0,90,0.803856861,0.594822787,-1.29893E-16,53.5,0,90,1.3017E-16,4.24583E-17,1,71.93494882,90,0,TRANSCURRENTE,-0.803856861,-0.594822787,-4.32978E-17,233.5,0,90,0.594822787,-0.803856861,-1.29893E-16,143.5,0,90,-4.24583E-17,1.3017E-16,-1,341.9349488,90,0,TRANSCURRENTE,1
20,7.8,-82.54,20,5.93,359.4,9,71.8,161,81.5,-87.2,-0.215052749,0.555128101,0.803483109,338.8239802,53.464014,36.535986,-0.212736058,0.776347713,-0.593319137,344.6758776,36.39289975,53.60710025,0.9531504,0.29852474,0.048859946,72.6095514,2.800583744,87.19941626,OBLICUA,-0.294329676,-0.748697837,0.593987871,201.4608871,36.44051331,53.55948669,-0.161035875,-0.573779751,-0.803021945,195.6772,53.41965359,36.58034641,-0.942039006,0.332006546,-0.048313197,289.4141889,2.769220313,87.23077969,OBLICUA,1
21,5.13,-82.3,38,5.82,94.6,76,82.1,244.8,16,-61.1,-0.522791711,0.055439214,-0.850655818,276.0532824,58.28307155,31.71692845,0.844993624,0.165488609,-0.508526592,78.91910263,30.56573653,59.43426347,-0.112581534,0.98465223,0.133361856,353.4773349,7.663904593,82.33609541,INVERSA,-0.569284725,0.645561929,0.509082212,318.5927435,30.60271566,59.39728434,-0.216574013,0.479588866,-0.850347115,335.6968903,58.24944365,31.75055635,0.793101885,0.594343601,0.133210678,53.15243187,7.655164787,82.34483521,NORMAL,1
22,5.9,-82.59,15,5.36,202.8,90,-180,292.8,90,0,-0.925870585,0.377840787,-4.32978E-17,292.2,0,90,-0.377840787,-0.925870585,-1.29893E-16,202.2,0,90,8.91672E-17,1.03905E-16,-1,40.63494882,90,0,TRANSCURRENTE,-0.925870585,0.377840787,4.32978E-17,292.2,0,90,0.377840787,0.925870585,-4.32978E-17,22.2,0,90,5.64478E-17,2.37285E-17,1,67.2,90,0,TRANSCURRENTE,1
23,7.96,-82.53,23,5.97,301,7.7,124.7,155.9,83.7,-94.4,-0.619929543,0.097127005,-0.778622955,278.9043869,51.13466685,38.86533315,0.782349958,0.000465026,-0.622838926,89.96594363,38.52374554,51.47625446,0.0601324,0.995271887,0.076275592,3.45749712,4.374518302,85.6254817,OBLICUA,-0.269060201,-0.734346128,0.623171223,200.1225438,38.54808561,51.45191439,-0.304918928,-0.548800287,-0.778358974,209.0569878,51.1105692,38.8894308,-0.913581444,0.399442123,0.076255718,293.6162291,4.373376321,85.62662368,OBLICUA,1
24,6.79,-81.92,42,6.27,345.8,71.5,132.2,236.5,45.4,-153.5,-0.336743866,0.605458365,-0.721126714,330.918061,46.14758254,43.85241746,-0.665733494,-0.694695986,-0.272390165,223.7804014,15.80654525,74.19345475,0.665884737,-0.388352489,-0.637008525,120.2512834,39.56911267,50.43088733,TRANSCURRENTE-INVERSA,-0.95385277,-0.127532488,0.271846204,262.3845761,15.77415632,74.22584368,-0.114165695,-0.683309239,-0.721148167,189.4852313,46.14935673,43.85064327,-0.277724843,0.718904687,-0.637216575,338.8776239,39.58457824,50.41542176,NORMAL-TRANSCURRENTE,1
25,6.91,-82.39,10,5.72,350.6,57,113.6,209.3,39.8,-121.7,-0.240070094,0.283133455,-0.92854822,319.7052427,68.20962821,21.79037179,-0.433784369,-0.886999624,-0.15831231,206.0607993,9.108950216,80.89104978,0.868445433,-0.364783653,-0.335760951,112.7844567,19.61881759,70.38118241,INVERSA,-0.771734858,0.615963419,0.158159337,308.5952645,9.100073704,80.8999263,-0.328720503,-0.173478876,-0.928357641,242.1776078,68.18023167,21.81976833,0.544397043,0.768436169,-0.336359501,35.31558686,19.6552297,70.3447703,NORMAL,1
26,6.34,-82.83,10,5.41,124.2,64.9,20.7,223.3,71.3,-26.6,-0.813710396,0.24675435,-0.526296192,286.8697125,31.75554331,58.24445669,-0.245504962,-0.966596364,-0.073612385,194.2511559,4.221497404,85.7785026,0.526880162,-0.069309164,-0.847108928,97.49402188,57.89859902,32.10140098,OBLICUA,-0.068820853,0.994940517,-0.07319193,356.0431065,4.197341927,85.80265807,0.849872348,0.020046973,-0.526607169,88.64874535,31.77650023,58.22349977,0.522475532,0.098445352,0.846952083,79.32937712,57.88169257,32.11830743,TRANSCURRENTE,1
27,7.53,-81.06,15,5.66,2.3,70.1,-96.9,162.7,21,71.6,-0.121153279,0.899688297,0.419383894,352.3306066,24.79569629,65.20430371,0.067787297,0.429008657,-0.900753271,8.979022902,64.25725864,25.74274136,0.990316498,0.080700312,0.112963243,85.34129434,6.486161934,83.51383807,NORMAL,-0.102183154,0.42248729,-0.900590414,346.4034948,64.23578333,25.76421667,-0.048529053,-0.906368479,-0.419691687,183.0648213,24.81512394,65.18487606,0.993581166,-0.00081938,-0.113118498,90.04725028,6.495114773,83.50488523,INVERSA,1
28,6,-82.47,15,5.78,351.7,70.6,106.6,213.6,25.3,-129.1,-0.136108915,0.46640809,-0.874035387,343.7315058,60.93101872,29.06898128,-0.32866829,-0.853538444,-0.404288609,201.0599787,23.8465554,66.1534446,0.934586282,-0.232240432,-0.269467741,103.9550809,15.63259682,74.36740318,INVERSA,-0.813218448,0.418133922,0.404771267,297.2109457,23.87679434,66.12320566,-0.478762272,-0.085263091,-0.873794536,259.9020251,60.90262887,29.09737113,0.330851087,0.904375049,-0.269524266,20.09423475,15.63595985,74.36404015,NORMAL,1
29,5.93,-82.49,15,5.73,21.2,83,15.4,113.1,74.7,-7.3,-0.390056595,-0.87952915,0.272551513,203.9164924,15.81615331,74.18384669,0.897658961,-0.429147878,-0.100202235,115.5512751,5.750816155,84.24918384,-0.20509569,-0.205573765,-0.956909183,224.9332998,73.11885228,16.88114772,TRANSCURRENTE,-0.924342911,0.368246725,-0.09992263,291.7217226,5.734715211,84.26528479,-0.330376563,-0.903429934,-0.273250216,200.0870318,15.85776554,74.14223446,0.190896592,0.219564805,-0.956739143,41.00472918,73.08533425,16.91466575,TRANSCURRENTE,1
30,5.69,-82.57,15,6.27,100.2,84.3,47.5,196.4,42.8,-8.4,-0.726125926,0.354734966,-0.588985775,296.0369394,36.08506867,53.91493133,0.658854882,0.603932346,-0.448526437,47.49040175,26.64918094,63.35081906,-0.19659955,0.713742828,0.672249799,344.5998492,42.24094375,47.75905625,OBLICUA,-0.514013895,-0.731102209,-0.44864159,215.1097904,26.65656312,63.34343688,0.785308772,-0.190678709,-0.589009136,103.6477228,36.08672495,53.91327505,-0.345079481,0.655081056,-0.672152484,332.2209175,42.23341272,47.76658728,OBLICUA,1
31,7.3,-82.46,15,5.26,352.4,71.2,105,212.1,23.9,-127.2,-0.121986133,0.469528548,-0.874449727,345.4362188,60.97991779,29.02008221,-0.299046257,-0.857475354,-0.41869721,199.2263205,24.75236423,65.24763577,0.946409383,-0.210425664,-0.245010858,102.5352959,14.18247538,75.81752462,INVERSA,-0.788029176,0.4517149,0.418286584,299.8222419,24.72645956,65.27354044,-0.483560786,-0.033649304,-0.874663759,266.0194039,61.00520654,28.99479346,0.3810236,0.891527551,-0.244948245,23.14103333,14.17877518,75.82122482,NORMAL,1
32,7.44,-82.44,15,5.67,356.6,74.6,93.2,188.5,15.7,-101.5,-0.010091023,0.495705644,-0.86843197,358.8337975,60.27693242,29.72306758,-0.090951515,-0.865331269,-0.492878907,186.0001004,29.52998005,60.47001995,0.995804194,-0.074011551,-0.053817256,94.25060175,3.084992057,86.91500794,INVERSA,-0.266306052,0.828137333,0.493223727,342.1736459,29.55268896,60.44731104,-0.209741338,0.449653996,-0.868227997,334.9932772,60.25336973,29.74663027,0.940792037,0.334663775,-0.053949052,70.41822728,3.092554372,86.90744563,NORMAL,1
33,5.37,-82.84,15,5.15,3.1,90,0,93.1,90,0,-0.667832555,-0.744311546,4.32978E-17,221.9,0,90,-0.744311546,0.667832555,-4.32978E-17,311.9,0,90,-3.31137E-18,6.11427E-17,1,356.9,90,0,TRANSCURRENTE,-0.744311546,0.667832555,-4.32978E-17,311.9,0,90,-0.667832555,-0.744311546,-4.32978E-17,221.9,0,90,6.11427E-17,3.31137E-18,-1,86.9,90,0,TRANSCURRENTE,1
34,6.52,-82.76,22,5.96,106.6,67.4,51.5,222.4,43.7,-33.8,-0.547555437,0.296094561,-0.782630855,298.4026266,51.50208914,38.49791086,0.703646243,0.669093982,-0.239155197,46.44184658,13.83668481,76.16331519,-0.452841042,0.681645989,0.574711873,326.402535,35.07945697,54.92054303,TRANSCURRENTE-INVERSA,-0.087265464,0.966979227,0.239449188,354.8432862,13.85403331,76.14596669,0.571565241,0.24546754,-0.782980754,66.75814692,51.53430652,38.46569348,0.815903128,-0.068533654,0.574112554,94.80141934,35.03750745,54.96249255,NORMAL-TRANSCURRENTE,1
35,6.37,-82.68,15,6.14,89.4,90,-180,179.4,90,0,-0.71447268,-0.699663341,4.32978E-17,225.6,0,90,-0.699663341,0.71447268,-1.29893E-16,315.6,0,90,-5.99466E-17,1.23099E-16,1,334.0349488,90,0,TRANSCURRENTE,-0.71447268,-0.699663341,-4.32978E-17,225.6,0,90,0.699663341,-0.71447268,-4.32978E-17,135.6,0,90,6.41212E-19,6.1229E-17,-1,0.6,90,0,TRANSCURRENTE,1
36,5.16,-82.56,15,5.64,5.2,90,0,95.2,90,0,-0.640109699,-0.768283524,4.32978E-17,219.8,0,90,-0.768283524,0.640109699,-4.32978E-17,309.8,0,90,-5.54964E-18,6.09803E-17,1,354.8,90,0,TRANSCURRENTE,-0.768283524,0.640109699,-4.32978E-17,309.8,0,90,-0.640109699,-0.768283524,-4.32978E-17,219.8,0,90,6.09803E-17,5.54964E-18,-1,84.8,90,0,TRANSCURRENTE,1
37,5.69,-82.66,15,6.27,95.1,76.3,81.7,243.5,16,-59.4,-0.528283447,0.055332922,-0.847263163,275.9794133,57.91523197,32.08476803,0.840255006,0.177471726,-0.512323444,78.07374172,30.81871751,59.18128249,-0.122016902,0.982569109,0.14024914,352.9211636,8.06226316,81.93773684,INVERSA,-0.537409201,0.670146854,0.511951702,321.2729145,30.79391926,59.20608074,-0.18855476,0.496214446,-0.847477626,339.193888,57.9383728,32.0616272,0.821972295,0.551973204,0.14031083,56.11773587,8.065833023,81.93416698,NORMAL,1
38,6.78,-82.29,15,5.51,351.2,77.5,109.9,230.3,23.4,-146.9,-0.154254125,0.576827152,-0.802169621,345.0283851,53.33778827,36.66221173,-0.3654803,-0.787610933,-0.496077784,204.8930257,29.74084577,60.25915423,0.9179487,-0.21665515,-0.332311196,103.2799748,19.40911584,70.59088416,INVERSA,-0.86711563,-0.050001364,0.495590908,266.6997503,29.70872304,60.29127696,-0.434980882,-0.408766543,-0.80231013,226.7795468,53.35127327,36.64872673,-0.242697583,0.911268224,-0.332698221,345.0866216,19.43262861,70.56737139,NORMAL,1
39,6.99,-82.65,15,6.44,249.2,66.7,-150.5,351.8,63.1,26.3,-0.954409008,-0.295795396,-0.040106484,252.7804742,2.298548787,87.70145121,0.25981674,-0.757036489,-0.599492299,161.0576565,36.83354487,53.16645513,-0.14696499,0.582581186,-0.799375039,345.8416671,53.07046439,36.92953561,TRANSCURRENTE,-0.697154665,-0.393436881,0.599318607,240.5619367,36.82111207,53.17888793,-0.517272172,0.854861143,-0.040520695,328.8220789,2.322300589,87.67769941,0.496391854,0.338260029,0.799484384,55.72801487,53.08089282,36.91910718,OBLICUA,1
40,6.96,-82.66,15,5.31,102.3,90,0,192.3,90,0,-0.841510782,0.54024032,-4.32978E-17,302.7,0,90,-0.54024032,-0.841510782,-4.32978E-17,212.7,0,90,5.98268E-17,1.30443E-17,-1,77.7,90,0,TRANSCURRENTE,-0.54024032,-0.841510782,-4.32978E-17,212.7,0,90,0.841510782,-0.54024032,-4.32978E-17,122.7,0,90,-1.30443E-17,5.98268E-17,-1,347.7,90,0,TRANSCURRENTE,1
41,6.42,-82.53,15,5.46,9.5,80.4,-66.1,258.9,25.7,157.3,-0.149683466,-0.841258591,-0.519498645,190.0889416,31.29862763,58.70137237,-0.379827327,0.534026897,-0.755345269,324.5776102,49.05554775,40.94445225,-0.912866946,-0.084257085,0.399467999,264.7265743,23.54492474,66.45507526,OBLICUA,-0.185212041,-0.628431838,0.755493167,196.4213508,49.06848025,40.93151975,0.41660156,-0.746502973,-0.518822178,150.8353866,31.25327863,58.74672137,-0.890022269,-0.218647517,-0.400067023,256.1977488,23.5823685,66.4176315,OBLICUA,1
42,6.85,-82.2,15,6.24,351,63.5,104,200.2,29.7,-115.9,-0.117855039,0.349415107,-0.92952637,341.3611433,68.36110476,21.63889524,-0.315842927,-0.90063122,-0.298507372,199.3252903,17.36797444,72.63202556,0.941463454,-0.258403731,-0.216504217,105.3480302,12.50379139,77.49620861,INVERSA,-0.601625531,0.74068112,0.299062197,320.9144304,17.40128522,72.59871478,-0.359680481,0.08309373,-0.929368271,283.0083097,68.33655323,21.66344677,0.713215726,0.666698515,-0.216417232,46.93072214,12.4986865,77.5013135,NORMAL,1
43,5.14,-82.34,15,5.26,271.6,90,-180,181.6,90,-180,-0.687087511,-0.726574671,-4.32978E-17,223.4,0,90,0.726574671,-0.687087511,-1.29893E-16,133.4,0,90,-6.46279E-17,1.20707E-16,-1,331.8349488,90,0,TRANSCURRENTE,-0.726574671,0.687087511,-4.32978E-17,313.4,0,90,-0.687087511,-0.726574671,-1.29893E-16,223.4,0,90,1.20707E-16,6.46279E-17,-1,61.83494882,90,0,TRANSCURRENTE,1
44,5.25,-82.34,15,5.64,348.8,90,-180,258.8,90,-180,-0.556295616,0.830984469,4.32978E-17,326.2,0,90,0.830984469,0.556295616,-1.29893E-16,56.2,0,90,1.32026E-16,3.62793E-17,1,74.63494882,90,0,TRANSCURRENTE,-0.830984469,-0.556295616,-4.32978E-17,236.2,0,90,0.556295616,-0.830984469,-1.29893E-16,146.2,0,90,-3.62793E-17,1.32026E-16,-1,344.6349488,90,0,TRANSCURRENTE,1
45,5.76,-82.47,15,5.94,94.1,77.6,84.3,249.2,13.6,-65.7,-0.54316204,0.031475524,-0.839037716,273.3165058,57.03864391,32.96135609,0.834526292,0.130229451,-0.535356104,81.13041845,32.36806475,57.63193525,-0.092416808,0.990984148,0.097002846,354.6721426,5.566606959,84.43339304,INVERSA,-0.637668286,0.553498962,0.535740661,310.9581287,32.39415515,57.60584485,-0.326800266,0.435411279,-0.838819768,323.1097434,57.01569914,32.98430086,0.697553398,0.709968955,0.096764356,44.49461507,5.55287788,84.44712212,NORMAL,1
46,7.39,-82.3,15,6.28,353.3,81.8,105.9,236.7,17.8,-152.3,-0.122056747,0.621366114,-0.773954975,348.8867207,50.71038283,39.28961717,-0.285367191,-0.768829438,-0.572247202,200.3634655,34.90707915,55.09292085,0.950614389,-0.151014725,-0.271158323,99.02658606,15.73320544,74.26679456,OBLICUA,-0.785965791,-0.232774551,0.572777255,253.502622,34.94412013,55.05587987,-0.424630851,-0.470127243,-0.773737046,222.0891483,50.69066868,39.30933132,-0.449384485,0.851349743,-0.270660674,332.1726923,15.7035846,74.2964154,OBLICUA,1
47,6.36,-82.4,15,5.83,55,15.8,-61.4,264.5,76.2,97.7,-0.452902758,0.730341349,-0.511351744,328.1959238,30.75391077,59.24608923,0.137478091,-0.509478619,-0.849429992,164.8989298,58.1497262,31.8502738,0.880896626,0.455008848,-0.130338337,62.68232487,7.489143967,82.51085603,NORMAL,-0.526236635,-0.044509909,0.849172463,265.1653415,58.12177564,31.87822436,-0.840831813,0.176143628,-0.511835212,281.8316442,30.78614979,59.21385021,0.12679458,0.983357661,0.130118578,7.347205279,7.476444519,82.52355548,INVERSA,1
48,5.9,-82.38,15,5.46,10.8,79.3,-73.8,248.2,19.3,145.9,-0.039963607,-0.8433112,-0.535937618,182.7131554,32.40752075,57.59247925,-0.300353243,0.521699076,-0.798509864,330.0700514,52.98803953,37.01196047,-0.952990472,-0.129059267,0.274140231,262.2876073,15.9107841,74.0892159,NORMAL,-0.087046045,-0.595809824,0.798394414,188.3119384,52.97705256,37.02294744,0.346944885,-0.769393811,-0.536341692,155.7278262,32.43494748,57.56505252,-0.93383737,-0.230312435,-0.273685859,256.1456217,15.88371522,74.11628478,INVERSA,1
49,5.3,-82.45,15,5.64,358.7,76.9,95,199.8,14,-110.5,-0.049609861,0.53031021,-0.846350957,354.6556051,57.81696995,32.18303005,-0.080859622,-0.84674528,-0.525817604,185.4548976,31.72330029,58.27669971,0.995490122,-0.04234988,-0.084887599,92.4359932,4.869561397,85.1304386,INVERSA,-0.508631197,0.681728511,0.525871222,323.2737285,31.72691205,58.27308795,-0.392739055,0.359825702,-0.846334153,312.49577,57.81516237,32.18483763,0.766192104,0.637002121,-0.084722834,50.26030656,4.860086908,85.13991309,NORMAL,1
